batch_data,timestamp,area_name,people
2025-09-03,2025-09-03 15:55:06 UTC,Ullevaal_Stadion,4062
2025-09-03,2025-09-03 16:00:07 UTC,Ullevaal_Stadion,4047
2025-09-03,2025-09-03 16:05:12 UTC,Ullevaal_Stadion,4009
2025-09-03,2025-09-03 16:10:11 UTC,Ullevaal_Stadion,3989
2025-09-03,2025-09-03 16:15:06 UTC,Ullevaal_Stadion,3951
2025-09-03,2025-09-03 16:20:06 UTC,Ullevaal_Stadion,3967
2025-09-03,2025-09-03 16:25:07 UTC,Ullevaal_Stadion,4040
2025-09-03,2025-09-03 16:30:09 UTC,Ullevaal_Stadion,4056
2025-09-03,2025-09-03 16:35:08 UTC,Ullevaal_Stadion,4036
2025-09-03,2025-09-03 16:40:12 UTC,Ullevaal_Stadion,4022
2025-09-03,2025-09-03 16:45:04 UTC,Ullevaal_Stadion,3942
2025-09-03,2025-09-03 16:50:06 UTC,Ullevaal_Stadion,3929
2025-09-03,2025-09-03 16:55:06 UTC,Ullevaal_Stadion,3836
2025-09-03,2025-09-03 17:00:10 UTC,Ullevaal_Stadion,3829
2025-09-03,2025-09-03 17:05:06 UTC,Ullevaal_Stadion,3791
2025-09-03,2025-09-03 17:10:12 UTC,Ullevaal_Stadion,3764
2025-09-03,2025-09-03 17:15:06 UTC,Ullevaal_Stadion,3782
2025-09-03,2025-09-03 17:20:08 UTC,Ullevaal_Stadion,3833
2025-09-03,2025-09-03 17:25:06 UTC,Ullevaal_Stadion,3676
2025-09-03,2025-09-03 17:30:08 UTC,Ullevaal_Stadion,3720
2025-09-03,2025-09-03 17:35:13 UTC,Ullevaal_Stadion,3762
2025-09-03,2025-09-03 17:40:13 UTC,Ullevaal_Stadion,3736
2025-09-03,2025-09-03 17:45:09 UTC,Ullevaal_Stadion,3700
2025-09-03,2025-09-03 17:50:05 UTC,Ullevaal_Stadion,3709
2025-09-03,2025-09-03 17:55:07 UTC,Ullevaal_Stadion,3684
2025-09-03,2025-09-03 18:00:08 UTC,Ullevaal_Stadion,3691
2025-09-03,2025-09-03 18:05:12 UTC,Ullevaal_Stadion,3707
2025-09-03,2025-09-03 18:10:10 UTC,Ullevaal_Stadion,3640
2025-09-03,2025-09-03 18:15:05 UTC,Ullevaal_Stadion,3593
2025-09-03,2025-09-03 18:20:06 UTC,Ullevaal_Stadion,3622
2025-09-03,2025-09-03 18:25:06 UTC,Ullevaal_Stadion,3589
2025-09-03,2025-09-03 18:30:10 UTC,Ullevaal_Stadion,3544
2025-09-03,2025-09-03 18:35:07 UTC,Ullevaal_Stadion,3551
2025-09-03,2025-09-03 18:40:05 UTC,Ullevaal_Stadion,3613
2025-09-03,2025-09-03 18:45:06 UTC,Ullevaal_Stadion,3542
2025-09-03,2025-09-03 18:50:06 UTC,Ullevaal_Stadion,3584
2025-09-03,2025-09-03 18:55:07 UTC,Ullevaal_Stadion,3622
2025-09-03,2025-09-03 19:00:09 UTC,Ullevaal_Stadion,3600
