id,area_name,polygon_wkt
jNwWFAidzuz5Lj7eT5zs,Ullevaal_Stadion,"POLYGON ((10.733024 59.948585, 10.734826 59.948413, 10.736222 59.949133, 10.735642 59.949885, 10.733625 59.94995, 10.732315 59.94924, 10.733024 59.948585))"
KPYQ8NVrJdrsFNzUAuqY,Larger_Ulleval_stadium_area,"POLYGON((10.731593 59.949294,10.733385 59.947521,10.737355 59.949944,10.735842 59.950686,10.73169 59.949504,10.731593 59.949294))"
