batch_data,timestamp,area_name,people,country
2025-09-03,2025-09-03 10:55:06 UTC,Ullevaal_Stadion,356,REST
2025-09-03,2025-09-03 10:55:06 UTC,Ullevaal_Stadion,140,DE
2025-09-03,2025-09-03 10:55:06 UTC,Ullevaal_Stadion,73,PL
2025-09-03,2025-09-03 10:55:06 UTC,Ullevaal_Stadion,4862,NO
2025-09-03,2025-09-03 10:55:06 UTC,Ullevaal_Stadion,58,FI
2025-09-03,2025-09-03 11:00:07 UTC,Ullevaal_Stadion,69,PL
2025-09-03,2025-09-03 11:00:07 UTC,Ullevaal_Stadion,147,DE
2025-09-03,2025-09-03 11:00:07 UTC,Ullevaal_Stadion,53,FI
2025-09-03,2025-09-03 11:00:07 UTC,Ullevaal_Stadion,44,UA
2025-09-03,2025-09-03 11:00:07 UTC,Ullevaal_Stadion,316,REST
2025-09-03,2025-09-03 11:00:07 UTC,Ullevaal_Stadion,96,NL
2025-09-03,2025-09-03 11:00:07 UTC,Ullevaal_Stadion,4811,NO
2025-09-03,2025-09-03 11:05:08 UTC,Ullevaal_Stadion,4833,NO
2025-09-03,2025-09-03 11:05:08 UTC,Ullevaal_Stadion,142,DE
2025-09-03,2025-09-03 11:05:08 UTC,Ullevaal_Stadion,53,FI
2025-09-03,2025-09-03 11:05:08 UTC,Ullevaal_Stadion,76,PL
2025-09-03,2025-09-03 11:05:08 UTC,Ullevaal_Stadion,44,UA
2025-09-03,2025-09-03 11:05:08 UTC,Ullevaal_Stadion,96,NL
2025-09-03,2025-09-03 11:05:08 UTC,Ullevaal_Stadion,313,REST
2025-09-03,2025-09-03 11:10:10 UTC,Ullevaal_Stadion,76,PL
2025-09-03,2025-09-03 11:10:10 UTC,Ullevaal_Stadion,4853,NO
2025-09-03,2025-09-03 11:10:10 UTC,Ullevaal_Stadion,313,REST
2025-09-03,2025-09-03 11:10:10 UTC,Ullevaal_Stadion,44,UA
2025-09-03,2025-09-03 11:10:10 UTC,Ullevaal_Stadion,138,DE
2025-09-03,2025-09-03 11:10:10 UTC,Ullevaal_Stadion,104,NL
2025-09-03,2025-09-03 11:10:10 UTC,Ullevaal_Stadion,53,FI
2025-09-03,2025-09-03 11:15:07 UTC,Ullevaal_Stadion,4824,NO
2025-09-03,2025-09-03 11:15:07 UTC,Ullevaal_Stadion,144,DE
2025-09-03,2025-09-03 11:15:07 UTC,Ullevaal_Stadion,107,NL
2025-09-03,2025-09-03 11:15:07 UTC,Ullevaal_Stadion,44,UA
2025-09-03,2025-09-03 11:15:07 UTC,Ullevaal_Stadion,338,REST
2025-09-03,2025-09-03 11:15:07 UTC,Ullevaal_Stadion,76,PL
2025-09-03,2025-09-03 11:15:07 UTC,Ullevaal_Stadion,53,FI
2025-09-03,2025-09-03 11:20:05 UTC,Ullevaal_Stadion,322,REST
2025-09-03,2025-09-03 11:20:05 UTC,Ullevaal_Stadion,4722,NO
2025-09-03,2025-09-03 11:20:05 UTC,Ullevaal_Stadion,51,FI
2025-09-03,2025-09-03 11:20:05 UTC,Ullevaal_Stadion,44,UA
